kind,kbr,name,unit,format,direction,target,notes,dimension,measure,denominator,aggregation,rank,op,value,response,channels,dna,weight,rollup,persistencesec
channel,,Front Desk,,,,,demo distribution list — replace before a client sees it,,,,,,,,,frontdesk@example.com,email,,,
channel,,Duty Manager,,,,,demo number,,,,,,,,,+1-555-0155,sms,,,
channel,,#hotel-ops,,,,,demo Slack channel,,,,,,,,,#hotel-ops,slack,,,
channel,,Housekeeping Webhook,,,,,demo endpoint,,,,,,,,,https://example.com/hooks/housekeeping,webhook,,,
kbr,Total Bookings,,bookings,count,up,340,demo target,,,,,,,,,,,,,
kbr,Occupancy Rate,,%,percentage,up,88,demo target,,,,,,,,,,,,,
kbr,Guest Return Rate,,%,percentage,up,38,demo target,,,,,,,,,,,,,
risk,Total Bookings,Check-in Wait,,,,,signature 60s,,,,,,,,,,Analog,HVY,signature,
risk,Total Bookings,Room Readiness,,,,,,,,,,,,,,,Analog,HVY,worst,
risk,Occupancy Rate,Housekeeping Turnaround,,,,,,,,,,,,,,,Analog,MED,mean,
risk,Occupancy Rate,Maintenance Response,,,,,,,,,,,,,,,Analog,MED,mean,
risk,Guest Return Rate,Booking Channel Health,,,,,,,,,,,,,,,Digital,MED,mean,
risk,Guest Return Rate,Upsell Capture,,,,,,,,,,,,,,,Analog,MED,worst,
condition,Total Bookings,Bookings below the nightly floor,,,,,,,,,,,lt,260,alarm,Front Desk;#hotel-ops,,,,300
condition,Total Bookings,Check-in queue over ten minutes,,,,,,,,,,,gt,600,alert,#hotel-ops,,,,120
condition,Total Bookings,Rooms not ready at cutoff,,,,,,,,,,,gt,8,action,Housekeeping Webhook,,,,180
condition,Occupancy Rate,Occupancy below target,,,,,,,,,,,lt,80,alarm,Front Desk;Duty Manager,,,,300
condition,Occupancy Rate,Maintenance calls unanswered,,,,,,,,,,,gt,3,alert,#hotel-ops,,,,180
condition,Guest Return Rate,Returning guests below the floor,,,,,,,,,,,lt,30,alarm,Front Desk,,,,300
condition,Guest Return Rate,Booking channel degraded,,,,,,,,,,,gt,2,alert,#hotel-ops,,,,120
anomrule,Total Bookings,Check-in delays repeating,,,,,,Check-in Wait,"queue, wait, delay",,frequency,,,3,alert,#hotel-ops,,,,
anomrule,Total Bookings,Room blocked reported,,,,,,Room Readiness,"out of order, blocked, maintenance",,contains,,,,alarm,Front Desk,,,,
anomrule,Occupancy Rate,Complaint keywords rising,,,,,,Maintenance Response,"complaint, escalation, refund",,contains,,,,alarm,Duty Manager,,,,
anomrule,Guest Return Rate,Same channel underperforming,,,,,,Booking Channel Health,three low-yield nights on one channel,,pattern,,,,alert,#hotel-ops,,,,
# clock - where a cold demo opens, as a fraction of the declared span.
# "1/3" is a third of the way in; "40%" and "2/5" are the same thing.
# A Data Doc naming an opening window outranks this; the Settings
# control outranks both, for the session only.
clock,,opening position,,,,,after check-out and before check-in builds,,,,,,,2/5,,,,,,
