kind,kbr,name,unit,format,direction,target,notes,dimension,measure,denominator,aggregation,rank,op,value,response,channels,dna,weight,rollup,persistencesec
channel,,Branch Operations,,,,,demo distribution list — replace before a client sees it,,,,,,,,,ops@example.com,email,,,
channel,,Duty Risk Officer,,,,,demo number,,,,,,,,,+1-555-0188,sms,,,
channel,,#banking-ops,,,,,demo Slack channel,,,,,,,,,#banking-ops,slack,,,
channel,,Core Banking Webhook,,,,,demo endpoint,,,,,,,,,https://example.com/hooks/core,webhook,,,
kbr,Loan Portfolio Growth,,count,count,up,1200,demo target,,,,,,,,,,,,,
kbr,Application Approval Rate,,%,percentage,up,64,demo target,,,,,,,,,,,,,
kbr,Customer Retention,,%,percentage,up,64,demo target,,,,,,,,,,,,,
risk,Loan Portfolio Growth,Identity Verification,,,,,signature 90s,,,,,,,,,,Digital,HVY,signature,
risk,Loan Portfolio Growth,Credit Bureau Response,,,,,,,,,,,,,,,Digital,HVY,worst,
risk,Application Approval Rate,Underwriting Queue,,,,,,,,,,,,,,,Analog,MED,mean,
risk,Application Approval Rate,Document Collection,,,,,,,,,,,,,,,Analog,MED,mean,
risk,Customer Retention,Mobile Login Success,,,,,,,,,,,,,,,Digital,MED,mean,
risk,Customer Retention,Branch Handoff Rate,,,,,,,,,,,,,,,Analog,MED,worst,
condition,Loan Portfolio Growth,Originations below the daily floor,,,,,,,,,,,lt,1000,alarm,Branch Operations;#banking-ops,,,,300
condition,Loan Portfolio Growth,Identity checks failing,,,,,,,,,,,gt,6,alert,#banking-ops,,,,120
condition,Loan Portfolio Growth,Credit bureau unreachable,,,,,,,,,,,gt,2,action,Core Banking Webhook,,,,60
condition,Application Approval Rate,Approval rate below target,,,,,,,,,,,lt,58,alarm,Branch Operations;Duty Risk Officer,,,,300
condition,Application Approval Rate,Underwriting queue backing up,,,,,,,,,,,gt,40,alert,#banking-ops,,,,180
condition,Customer Retention,Retention below the monthly floor,,,,,,,,,,,lt,60,alarm,Branch Operations,,,,300
condition,Customer Retention,Mobile logins failing,,,,,,,,,,,gt,5,alert,#banking-ops,,,,120
anomrule,Loan Portfolio Growth,Verification failures clustering,,,,,,Identity Verification,"mismatch, expired, rejected",,frequency,,,4,alert,#banking-ops,,,,
anomrule,Loan Portfolio Growth,Bureau timeouts reported,,,,,,Credit Bureau Response,"timeout, unavailable, retry",,contains,,,,alarm,Branch Operations,,,,
anomrule,Application Approval Rate,Documents repeatedly missing,,,,,,Document Collection,"missing, incomplete, resubmit",,contains,,,,alert,#banking-ops,,,,
anomrule,Customer Retention,Same channel failing repeatedly,,,,,,Mobile Login Success,three login failure spikes in one day,,pattern,,,,alarm,Duty Risk Officer,,,,
# clock - where a cold demo opens, as a fraction of the declared span.
# "1/3" is a third of the way in; "40%" and "2/5" are the same thing.
# A Data Doc naming an opening window outranks this; the Settings
# control outranks both, for the session only.
clock,,opening position,,,,,mid session and before settlement cut-off,,,,,,,1/2,,,,,,
